lngTotalSN,lngYearSN,lngDateSN,strSN,lngL1,lngL2,lngL3,lngL4,lngL5,lngL6,lngL7,lngL8,lngL9,lngL10,lngL11,lngL12,intSum
832,302,20201217,20201217302,,,,,,,,,,,,,0
833,303,20201218,20201218303,,,,,,,,,,,,,0
834,304,20201219,20201219304,,,,,,,,,,,,,0
835,305,20201221,20201221305,,,,,,,,,,,,,0
836,306,20201222,20201222306,,,,,,,,,,,,,0
837,307,20201223,20201223307,,,,,,,,,,,,,0
838,308,20201224,20201224308,,,,,,,,,,,,,0
839,309,20201225,20201225309,,,,,,,,,,,,,0
840,310,20201226,20201226310,,,,,,,,,,,,,0
841,311,20201228,20201228311,,,,,,,,,,,,,0
842,312,20201229,20201229312,,,,,,,,,,,,,0
843,313,20201230,20201230313,,,,,,,,,,,,,0
844,314,20201231,20201231314,,,,,,,,,,,,,0
845,1,20210101,20210101001,,,,,,,,,,,,,0
846,2,20210102,20210102002,,,,,,,,,,,,,0
847,3,20210104,20210104003,,,,,,,,,,,,,0
848,4,20210105,20210105004,,,,,,,,,,,,,0
849,5,20210106,20210106005,,,,,,,,,,,,,0
850,6,20210107,20210107006,,,,,,,,,,,,,0
851,7,20210108,20210108007,,,,,,,,,,,,,0
852,8,20210109,20210109008,,,,,,,,,,,,,0
853,9,20210111,20210111009,,,,,,,,,,,,,0
854,10,20210112,20210112010,,,,,,,,,,,,,0
855,11,20210113,20210113011,,,,,,,,,,,,,0
856,12,20210114,20210114012,,,,,,,,,,,,,0
857,13,20210115,20210115013,,,,,,,,,,,,,0
858,14,20210116,20210116014,,,,,,,,,,,,,0
859,15,20210118,20210118015,,,,,,,,,,,,,0
860,16,20210119,20210119016,,,,,,,,,,,,,0
861,17,20210120,20210120017,,,,,,,,,,,,,0
862,18,20210121,20210121018,,,,,,,,,,,,,0
863,19,20210122,20210122019,,,,,,,,,,,,,0
864,20,20210123,20210123020,,,,,,,,,,,,,0
865,21,20210125,20210125021,,,,,,,,,,,,,0
866,22,20210126,20210126022,,,,,,,,,,,,,0
867,23,20210127,20210127023,,,,,,,,,,,,,0
868,24,20210128,20210128024,,,,,,,,,,,,,0
869,25,20210129,20210129025,,,,,,,,,,,,,0
870,26,20210130,20210130026,,,,,,,,,,,,,0
871,27,20210201,20210201027,,,,,,,,,,,,,0
872,28,20210202,20210202028,,,,,,,,,,,,,0
873,29,20210203,20210203029,,,,,,,,,,,,,0
874,30,20210204,20210204030,,,,,,,,,,,,,0
875,31,20210205,20210205031,,,,,,,,,,,,,0
876,32,20210206,20210206032,,,,,,,,,,,,,0
877,33,20210208,20210208033,,,,,,,,,,,,,0
878,34,20210209,20210209034,,,,,,,,,,,,,0
879,35,20210210,20210210035,,,,,,,,,,,,,0
880,36,20210211,20210211036,,,,,,,,,,,,,0
881,37,20210212,20210212037,,,,,,,,,,,,,0
882,38,20210213,20210213038,,,,,,,,,,,,,0
883,39,20210215,20210215039,,,,,,,,,,,,,0
884,40,20210216,20210216040,,,,,,,,,,,,,0
885,41,20210217,20210217041,,,,,,,,,,,,,0
886,42,20210218,20210218042,,,,,,,,,,,,,0
887,43,20210219,20210219043,,,,,,,,,,,,,0
888,44,20210220,20210220044,,,,,,,,,,,,,0
889,45,20210222,20210222045,,,,,,,,,,,,,0
890,46,20210223,20210223046,,,,,,,,,,,,,0
891,47,20210224,20210224047,,,,,,,,,,,,,0
892,48,20210225,20210225048,,,,,,,,,,,,,0
893,49,20210226,20210226049,,,,,,,,,,,,,0
894,50,20210227,20210227050,,,,,,,,,,,,,0
895,51,20210301,20210301051,,,,,,,,,,,,,0
896,52,20210302,20210302052,,,,,,,,,,,,,0
897,53,20210303,20210303053,,,,,,,,,,,,,0
898,54,20210304,20210304054,,,,,,,,,,,,,0
899,55,20210305,20210305055,,,,,,,,,,,,,0
900,56,20210306,20210306056,,,,,,,,,,,,,0
901,57,20210308,20210308057,,,,,,,,,,,,,0
902,58,20210309,20210309058,,,,,,,,,,,,,0
903,59,20210310,20210310059,,,,,,,,,,,,,0
904,60,20210311,20210311060,,,,,,,,,,,,,0
905,61,20210312,20210312061,,,,,,,,,,,,,0
906,62,20210313,20210313062,,,,,,,,,,,,,0
907,63,20210315,20210315063,,,,,,,,,,,,,0
908,64,20210316,20210316064,,,,,,,,,,,,,0
909,65,20210317,20210317065,,,,,,,,,,,,,0
910,66,20210318,20210318066,,,,,,,,,,,,,0
911,67,20210319,20210319067,,,,,,,,,,,,,0
912,68,20210320,20210320068,,,,,,,,,,,,,0
913,69,20210322,20210322069,,,,,,,,,,,,,0
914,70,20210323,20210323070,,,,,,,,,,,,,0
915,71,20210324,20210324071,,,,,,,,,,,,,0
916,72,20210325,20210325072,,,,,,,,,,,,,0
917,73,20210326,20210326073,,,,,,,,,,,,,0
918,74,20210327,20210327074,,,,,,,,,,,,,0
919,75,20210329,20210329075,,,,,,,,,,,,,0
920,76,20210330,20210330076,,,,,,,,,,,,,0
921,77,20210331,20210331077,,,,,,,,,,,,,0
922,78,20210401,20210401078,,,,,,,,,,,,,0
923,79,20210402,20210402079,,,,,,,,,,,,,0
924,80,20210403,20210403080,,,,,,,,,,,,,0
925,81,20210405,20210405081,,,,,,,,,,,,,0
926,82,20210406,20210406082,,,,,,,,,,,,,0
927,83,20210407,20210407083,,,,,,,,,,,,,0
928,84,20210408,20210408084,,,,,,,,,,,,,0
929,85,20210409,20210409085,,,,,,,,,,,,,0
930,86,20210410,20210410086,,,,,,,,,,,,,0
931,87,20210412,20210412087,,,,,,,,,,,,,0
932,88,20210413,20210413088,,,,,,,,,,,,,0
933,89,20210414,20210414089,,,,,,,,,,,,,0
934,90,20210415,20210415090,,,,,,,,,,,,,0
935,91,20210416,20210416091,,,,,,,,,,,,,0
936,92,20210417,20210417092,,,,,,,,,,,,,0
937,93,20210419,20210419093,,,,,,,,,,,,,0
938,94,20210420,20210420094,,,,,,,,,,,,,0
939,95,20210421,20210421095,,,,,,,,,,,,,0
940,96,20210422,20210422096,,,,,,,,,,,,,0
941,97,20210423,20210423097,,,,,,,,,,,,,0
942,98,20210424,20210424098,,,,,,,,,,,,,0
943,99,20210426,20210426099,,,,,,,,,,,,,0
944,100,20210427,20210427100,,,,,,,,,,,,,0
945,101,20210428,20210428101,,,,,,,,,,,,,0
946,102,20210429,20210429102,,,,,,,,,,,,,0
947,103,20210430,20210430103,,,,,,,,,,,,,0
948,104,20210501,20210501104,,,,,,,,,,,,,0
949,105,20210503,20210503105,,,,,,,,,,,,,0
950,106,20210504,20210504106,,,,,,,,,,,,,0
